mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03342504501342773,0.004695774288673176,0.0017078399658203125,0.00025229915011947213,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.5017989873886108,0.52580726146698,0.5341600775718689,0.5490292310714722,0.5183549523353577,0.5258301019668579,0.015754116518340407,27
0.05726003646850586,0.007099793747868358,0.003227090835571289,0.0013759921963176793,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.6484444737434387,0.6878588199615479,0.6863992214202881,0.6920531988143921,0.6759237051010132,0.6781358838081359,0.015766949350976847,25
0.07764163017272949,0.006043547291318755,0.005345630645751953,0.002763803566567681,0.01,3,300,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",0.7185890674591064,0.7469067573547363,0.7432855367660522,0.7480629086494446,0.7428221702575684,0.7399332880973816,0.010861666260120653,23
0.050914955139160153,0.007537249901021801,0.003458881378173828,0.001470743374548628,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",0.6143103837966919,0.6322104930877686,0.65128493309021,0.6578353643417358,0.6214689016342163,0.6354220151901245,0.016761232751245043,26
0.08941354751586914,0.01126251025903888,0.004585456848144531,0.0013739452144951403,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.7483406662940979,0.7688236832618713,0.7853910326957703,0.7826629877090454,0.7564780712127686,0.7683392882347106,0.014399988493772067,22
0.11947498321533204,0.020912496326401308,0.009744024276733399,0.00323874743438242,0.01,5,300,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",0.7898691892623901,0.8128323554992676,0.826829195022583,0.8264020681381226,0.81022709608078,0.8132319808006286,0.013515505880988635,20
0.08193845748901367,0.0030643387629025244,0.004648351669311523,0.00161410232130352,0.01,7,100,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100}",0.6622541546821594,0.6685916185379028,0.7016448974609375,0.7047415971755981,0.6627997159957886,0.6800063967704773,0.01908697972836813,24
0.157316255569458,0.011788331363224712,0.01168837547302246,0.003712032227692842,0.01,7,200,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}",0.8007045984268188,0.8078006505966187,0.8356650471687317,0.8309192657470703,0.7866871356964111,0.8123553395271301,0.018456995824737376,21
0.22269315719604493,0.011472308727469056,0.012156438827514649,0.003654029363348713,0.01,7,300,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300}",0.8421496152877808,0.8475536108016968,0.8696377277374268,0.8632288575172424,0.8293746113777161,0.8503888845443726,0.014511422273617444,18
0.03412971496582031,0.00755751251950605,0.002292490005493164,0.000900794331325225,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.815981388092041,0.8256033062934875,0.8334063291549683,0.8324865102767944,0.8347294330596924,0.8284413933753967,0.006983687722947984,19
0.05415534973144531,0.010426694534381832,0.0028788566589355467,0.0013474686481947087,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.8420221209526062,0.8473654389381409,0.8556066751480103,0.8512031435966492,0.8559896349906921,0.8504374027252197,0.0052609685118722846,17
0.0715850830078125,0.006746306270725258,0.005239629745483398,0.0024177509091073534,0.1,3,300,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",0.8547838926315308,0.8561996221542358,0.8694500923156738,0.8638023138046265,0.8649722933769226,0.8618416428565979,0.005534942497686542,15
0.046236181259155275,0.010305926370450243,0.002641630172729492,0.0008553328567040622,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.866167426109314,0.8677149415016174,0.8842058777809143,0.8782678842544556,0.8670008182525635,0.872671389579773,0.007257940041905922,13
0.0845858097076416,0.0074944674860044705,0.004568243026733398,0.0004524659175533203,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.8854227066040039,0.8867015242576599,0.9001549482345581,0.8921512365341187,0.8761052489280701,0.8881071329116821,0.007933873298822338,11
0.12576704025268554,0.010787998885281001,0.009976530075073242,0.003951582134002302,0.1,5,300,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",0.8951038718223572,0.8979063630104065,0.907361626625061,0.9042180776596069,0.8801677227020264,0.8969515323638916,0.009457214821152193,9
